Date,Original,EW,GMV,MSR
2012-02-24,1111.4176175348725,1124.5146626998828,1088.4030419926198,1208.6493681696738
2012-02-27,1110.4939373304555,1124.7298762461169,1089.2819183082759,1205.4358418299814
2012-02-28,1118.8991157441799,1135.9045917477933,1091.5312103308734,1221.5893065245261
2012-02-29,1109.2486081249262,1122.1872229110506,1082.139054591435,1214.9044309273238
2012-03-01,1121.0132488993377,1131.804713002747,1094.8265402108425,1231.929236259858
2012-03-02,1114.494425472956,1125.2323644825706,1086.3880051810065,1227.984753021382
2012-03-05,1100.7169038476643,1110.8218634714776,1087.107279035581,1216.613870116348
2012-03-06,1085.6267700045764,1094.6116562164984,1076.2165619770776,1203.3574827595353
2012-03-07,1097.7233878370998,1108.3846413966721,1090.2629439845346,1209.12095801379
2012-03-08,1108.210591474897,1120.8249156537588,1097.3136968109902,1219.6804437984003
2012-03-09,1111.5594500829586,1127.1426623655386,1102.3659680382177,1228.9890286701043
2012-03-12,1115.7192020348698,1128.712931227307,1106.454086532668,1233.519613810581
2012-03-13,1134.9368050944684,1146.1299745081383,1121.569821179647,1254.2324556956712
2012-03-14,1137.7798666904664,1147.5798840212158,1119.5980731785746,1263.9650530256142
2012-03-15,1144.2217161848976,1154.9332737198315,1122.7117474807037,1267.268678591694
2012-03-16,1140.800956249048,1152.629034626642,1122.5717361775557,1260.7393153543726
2012-03-19,1144.8156983783254,1156.3873054711398,1125.1810623900415,1260.0795905179532
2012-03-20,1140.1198194389258,1144.8407109515178,1119.7613936849054,1250.921007497048
2012-03-21,1136.0567338532057,1142.0094632945043,1115.2236898730484,1244.1866554446767
2012-03-22,1131.9545555374107,1135.4492630944635,1111.1571467637677,1240.5046835460312
2012-03-23,1132.4207203342646,1137.0311581242172,1112.1389476051427,1241.4027908558915
2012-03-26,1144.6153515183885,1150.3541082682582,1121.2244572158552,1256.9801353790153
2012-03-27,1144.0725647246213,1151.2509876362274,1121.866799772126,1259.2381034799614
2012-03-28,1137.8462784546728,1144.0068424816402,1117.438936434371,1253.1308700868112
2012-03-29,1132.7820514837322,1135.464284257465,1107.8316313521748,1247.6242369384995
2012-03-30,1133.5662277412073,1140.253961879925,1111.1316554987034,1245.8493882835046
2012-04-02,1145.2229432914494,1153.0833825442335,1125.417960786164,1254.4678686477064
2012-04-03,1140.411036538192,1146.5473162763788,1124.1498535966066,1251.317716992641
2012-04-04,1123.7554915101562,1127.1719030624488,1110.4946279501485,1233.6582392986213
2012-04-05,1126.754270467189,1129.2220627965205,1112.8254208013452,1243.145770523056
2012-04-10,1102.5567291843865,1105.4322448965243,1095.6952866155445,1213.0651650626712
2012-04-11,1109.8349924411498,1116.2120274933875,1099.3207601828697,1211.8668452645115
2012-04-12,1124.428703437358,1131.2619418992597,1109.724896409804,1227.0276501308856
2012-04-13,1110.0870151747572,1116.7891849230323,1095.6326818083808,1218.3222226303149
2012-04-16,1104.8811765081991,1115.6391570855158,1099.81284943364,1209.4498773266484
2012-04-17,1122.8600916793139,1133.404315191184,1114.9592998975718,1231.2164581934362
2012-04-18,1122.8285222536133,1132.980358106079,1115.1323938413047,1224.9450073117293
2012-04-19,1115.6930812083845,1126.0631751908168,1115.1994909171513,1221.2173587938964
2012-04-20,1120.1968253907896,1131.019259171755,1120.705339218301,1240.9521559280752
2012-04-23,1109.1120666747113,1115.1419193569943,1109.1551488485288,1230.2894356284012
2012-04-24,1104.512982958384,1115.767129788058,1115.0458857945791,1220.331783826139
2012-04-25,1123.4550558157716,1129.3131176199965,1115.3542398780794,1248.1987012389786
2012-04-26,1130.5660424348612,1143.0933563319188,1117.932298072317,1247.8811681670186
2012-04-27,1129.252766631779,1147.456989899443,1121.9445685287492,1244.952272597807
2012-04-30,1122.0787884557478,1141.032909115794,1116.1177563355418,1235.626383421799
2012-05-03,1112.9587610285062,1127.0899727461726,1112.495829652238,1212.136064087456
2012-05-04,1089.4391490312637,1097.8187900438138,1095.4217369252633,1180.736282287645
2012-05-08,1084.3063918953615,1086.7458911551719,1092.9107090913926,1168.7811176043822
