path,npv_eur,npv_eur_mean,npv_eur_p50,npv_eur_p10,npv_eur_p90
170,6628.815595246765,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
171,9457.764714246685,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
172,12863.088032844607,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
173,7155.936075491746,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
174,7770.328416514662,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
175,4126.352447153113,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
176,4916.226783577528,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
177,8496.391075261712,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
178,14906.768774859222,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
179,7913.368028507488,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
180,9993.454406640927,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
181,8810.158003338911,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
182,6102.316793461896,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
183,5181.439286814325,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
184,6722.592347296694,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
185,10186.154855951472,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
186,5954.603069883315,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
187,7001.282547687124,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
188,3289.3798682709976,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
189,4356.971742548807,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
190,8160.431731577492,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
191,9993.607464995926,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
192,5364.320154890694,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
193,4986.676391517041,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
194,7657.169314260389,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
195,2744.6760431802195,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
196,5017.428214610287,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
197,12002.11656661903,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
198,3334.780630856081,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
199,6711.646855399703,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
